<meta message midi_port port=0 time=0>
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=72 time=25
note_on channel=9 note=54 velocity=0 time=1
note_on channel=9 note=42 velocity=0 time=13
note_on channel=9 note=40 velocity=0 time=3
note_on channel=9 note=36 velocity=108 time=31
note_on channel=9 note=42 velocity=119 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=42 velocity=51 time=27
note_on channel=9 note=36 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=1
note_on channel=9 note=40 velocity=121 time=35
note_on channel=9 note=42 velocity=108 time=0
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=42 velocity=58 time=28
note_on channel=9 note=42 velocity=0 time=15
note_on channel=9 note=40 velocity=0 time=3
note_on channel=9 note=36 velocity=108 time=30
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=42 velocity=56 time=27
note_on channel=9 note=36 velocity=0 time=10
note_on channel=9 note=42 velocity=0 time=6
note_on channel=9 note=40 velocity=121 time=32
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=54 velocity=111 time=0
note_on channel=9 note=42 velocity=0 time=21
note_on channel=9 note=42 velocity=58 time=27
note_on channel=9 note=40 velocity=0 time=16
note_on channel=9 note=42 velocity=0 time=2
note_on channel=9 note=36 velocity=102 time=30
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=54 velocity=0 time=4
note_on channel=9 note=42 velocity=76 time=24
note_on channel=9 note=36 velocity=0 time=10
note_on channel=9 note=42 velocity=0 time=4
note_on channel=9 note=40 velocity=121 time=34
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=23
note_on channel=9 note=42 velocity=72 time=25
note_on channel=9 note=42 velocity=0 time=14
note_on channel=9 note=40 velocity=0 time=3
note_on channel=9 note=36 velocity=113 time=31
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=42 velocity=0 time=20
note_on channel=9 note=42 velocity=56 time=28
note_on channel=9 note=36 velocity=0 time=5
note_on channel=9 note=42 velocity=0 time=13
note_on channel=9 note=40 velocity=121 time=30
note_on channel=9 note=42 velocity=113 time=0
note_on channel=9 note=54 velocity=106 time=0
note_on channel=9 note=42 velocity=0 time=24
note_on channel=9 note=54 velocity=0 time=21
note_on channel=9 note=42 velocity=74 time=3
note_on channel=9 note=40 velocity=0 time=12
note_on channel=9 note=42 velocity=0 time=3
note_on channel=9 note=36 velocity=119 time=33
